"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"80","80",2045,31,2014,1,1,0,519,398,251,152,91,55,0,0,0,0,0,0,14,933,1029,26,43,1816
"81","81",85,37,48,1,0,0,34,51,0,0,0,0,0,0,0,0,0,0,1,23,33,2,26,58
"82","82",1420,744,676,1,0,0,207,220,197,192,171,0,0,0,0,0,0,0,12,868,461,19,60,1167
"83","83",2558,1238,1320,1,1,0,445,444,424,343,249,150,66,0,0,0,0,0,9,609,1886,20,34,2325
"84","84",410,209,201,1,0,0,172,93,0,0,0,0,0,0,0,0,0,0,3,137,261,6,3,372
"85","85",2005,404,1601,0,0,1,0,0,0,0,0,0,0,0,607,578,463,357,131,567,1210,41,56,1431
"86","86",1997,1328,669,0,0,1,0,0,0,0,0,0,0,0,639,525,442,391,81,789,1050,36,41,1532
"87","87",2367,1232,1135,1,1,0,264,268,272,275,265,263,262,248,0,0,0,0,46,980,1312,23,6,1873
"88","88",1686,390,1296,0,0,1,0,0,0,0,0,0,0,0,395,525,379,387,83,611,912,34,46,1290
"89","89",1623,761,862,0,1,0,0,0,0,0,0,537,531,555,0,0,0,0,56,1010,520,18,19,1345
"90","90",1043,550,493,0,0,1,0,0,0,0,0,0,0,0,239,381,277,146,12,384,615,10,22,909
"91","91",152,76,76,1,0,0,48,52,0,0,0,0,0,0,0,0,0,0,8,43,93,2,6,127
"92","92",1317,557,760,0,0,1,0,0,0,0,0,0,0,0,324,352,334,307,149,62,1031,24,51,991
"93","93",1416,718,698,0,0,1,0,0,0,0,0,0,0,0,482,437,286,211,25,536,817,23,15,1254
"94","94",2270,1221,1049,0,0,1,0,0,0,0,0,0,0,0,644,590,534,502,162,511,1515,34,48,1972
"95","95",2757,1467,1290,1,0,0,461,478,469,420,378,0,0,0,0,0,0,0,42,2344,272,53,46,2218
"96","96",1120,539,581,1,0,0,296,224,152,72,0,0,0,0,0,0,0,0,14,938,159,3,6,872
"97","97",2109,1070,1039,1,0,0,370,343,354,350,347,0,0,0,0,0,0,0,12,509,1545,25,18,1922
"98","98",4030,2095,1935,1,1,0,455,455,453,455,449,452,449,406,0,0,0,0,1010,1593,1352,41,34,3146
"99","99",702,361,341,1,0,0,237,144,60,0,0,0,0,0,0,0,0,0,28,485,178,6,5,517
"100","100",278,170,108,1,0,0,111,59,0,0,0,0,0,0,0,0,0,0,17,199,58,4,0,205
"101","101",88,43,45,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,4,31,53,0,0,83
"102","102",837,427,410,1,0,0,238,181,120,62,0,0,0,0,0,0,0,0,233,248,343,10,3,679
"103","103",1910,1018,892,1,1,0,265,266,264,268,256,231,106,0,0,0,0,0,9,462,1396,26,17,1576
"104","104",2542,1232,1310,0,0,1,0,0,0,0,0,0,0,1,720,747,626,448,66,746,1587,51,92,2148
"105","105",1936,958,978,0,0,1,0,0,0,0,0,0,0,0,620,545,418,353,51,460,1392,14,19,1585
"106","106",2416,1202,1214,1,1,0,290,311,310,307,305,280,202,149,0,0,0,0,87,578,1632,29,90,2046
"107","107",851,437,414,0,0,1,0,0,0,0,0,0,0,0,160,280,209,202,17,303,511,6,14,658
